epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,515.751,1.13595,0.88026,0.9839,0.94526,0.95572,0.99107,0.64553,1.20934,0.85157,0.97563,0.000774013,0.000774013,0.000774013
17,547.502,1.14098,0.84946,0.9867,0.95125,0.98278,0.99177,0.64871,1.08906,0.82038,0.95732,0.000765014,0.000765014,0.000765014
18,579.344,1.11118,0.81149,0.9735,0.97313,0.97127,0.995,0.61992,1.31351,0.84071,1.00711,0.000756015,0.000756015,0.000756015
19,611.108,1.14627,0.86527,0.9717,0.97115,0.98438,0.99464,0.62488,1.23918,0.76881,0.99963,0.000747016,0.000747016,0.000747016
20,643.021,1.11679,0.82553,0.97062,0.9646,0.97796,0.99429,0.63457,1.16827,0.76479,0.96881,0.000738017,0.000738017,0.000738017
21,674.863,1.07645,0.77328,0.95406,0.93036,0.98123,0.98207,0.63046,1.30625,0.75459,1.0211,0.000729018,0.000729018,0.000729018
22,706.685,1.10351,0.75358,0.95279,0.98125,0.94992,0.98446,0.61663,1.27052,0.71399,0.97986,0.000720019,0.000720019,0.000720019
23,738.503,1.09572,0.75735,0.95868,0.97263,0.97373,0.98227,0.60968,1.27534,0.73352,0.9935,0.00071102,0.00071102,0.00071102
24,770.652,1.04095,0.73396,0.94953,0.96356,0.98803,0.995,0.65926,1.14662,0.69481,0.94736,0.000702021,0.000702021,0.000702021
25,802.448,1.10453,0.77284,0.95095,0.98031,0.97642,0.99429,0.6532,1.16397,0.68311,0.96093,0.000693022,0.000693022,0.000693022
26,833.874,1.02929,0.69404,0.93308,0.96723,0.9618,0.98719,0.65365,1.18434,0.67947,0.97063,0.000684022,0.000684022,0.000684022
27,865.368,1.03133,0.70186,0.93738,0.95424,0.98971,0.98684,0.67956,1.08037,0.69574,0.95261,0.000675023,0.000675023,0.000675023
28,897.141,1.05433,0.70825,0.9459,0.95447,0.9626,0.98619,0.66866,1.17183,0.68968,0.9773,0.000666024,0.000666024,0.000666024
29,928.793,1.07329,0.70728,0.96713,0.97612,0.97272,0.995,0.67603,1.13423,0.64021,0.95201,0.000657025,0.000657025,0.000657025
30,960.528,1.04776,0.6779,0.94523,0.95425,0.98891,0.98662,0.70069,1.14236,0.62278,0.98524,0.000648026,0.000648026,0.000648026
31,992.318,1.00318,0.67258,0.92936,0.96706,0.98163,0.99429,0.67261,1.16721,0.71,0.95942,0.000639027,0.000639027,0.000639027
32,1024.1,1.02478,0.66838,0.93016,0.96267,0.99462,0.995,0.62884,1.28806,0.70013,0.97744,0.000630028,0.000630028,0.000630028
33,1055.73,1.03083,0.6573,0.93466,0.96983,0.97989,0.995,0.69439,1.0497,0.61846,0.939,0.000621029,0.000621029,0.000621029
34,1086.97,0.99897,0.63757,0.9279,0.97823,0.98824,0.995,0.68756,1.10095,0.61685,0.95061,0.00061203,0.00061203,0.00061203
35,1118.15,0.99687,0.64254,0.92195,0.95235,0.98744,0.99464,0.67426,1.11439,0.63913,0.94331,0.000603031,0.000603031,0.000603031
36,1149.71,1.01662,0.66028,0.93752,0.96675,0.96319,0.97807,0.69485,1.07681,0.62164,0.94839,0.000594031,0.000594031,0.000594031
37,1180.93,0.99502,0.64019,0.92492,0.94102,0.98583,0.99307,0.68914,1.05845,0.63516,0.9394,0.000585032,0.000585032,0.000585032
38,1212.13,1.01042,0.62963,0.93232,0.98888,0.97686,0.99291,0.67276,1.10296,0.61173,0.9369,0.000576033,0.000576033,0.000576033
39,1243.62,0.97913,0.63217,0.92464,0.97691,1,0.995,0.68172,1.04584,0.62574,0.93381,0.000567034,0.000567034,0.000567034
40,1274.77,0.99408,0.64105,0.92709,0.98495,0.97621,0.99098,0.6887,1.01609,0.60161,0.9294,0.000558035,0.000558035,0.000558035
